Ticker,Company,Ind
ATXS,"Astria Therapeutics, Inc.",RUSSEL 2000
AUB,Atlantic Union Bankshares Corp,RUSSEL 2000
AUPH,Aurinia Pharmaceuticals Inc.,RUSSEL 2000
AUR,"Aurora Innovation, Inc.",RUSSEL 2000
AURA,"Aura Biosciences, Inc.",RUSSEL 2000
AVA,AVISTA CORP,RUSSEL 2000
AVAH,"Aveanna Healthcare Holdings, Inc.",RUSSEL 2000
AVAV,AeroVironment Inc,RUSSEL 2000
AVD,AMERICAN VANGUARD CORP,RUSSEL 2000
AVDX,"AvidXchange Holdings, Inc.",RUSSEL 2000
AVIR,"Atea Pharmaceuticals, Inc.",RUSSEL 2000
AVNS,"AVANOS MEDICAL, INC.",RUSSEL 2000
AVNT,AVIENT CORP,RUSSEL 2000
AVNW,"AVIAT NETWORKS, INC.",RUSSEL 2000
AVO,"Mission Produce, Inc.",RUSSEL 2000
AVPT,"AvePoint, Inc.",RUSSEL 2000
AVTE,"Aerovate Therapeutics, Inc.",RUSSEL 2000
AVXL,ANAVEX LIFE SCIENCES CORP.,RUSSEL 2000
AWR,AMERICAN STATES WATER CO,RUSSEL 2000
AX,"Axos Financial, Inc.",RUSSEL 2000
AXGN,"Axogen, Inc.",RUSSEL 2000
AXL,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,RUSSEL 2000
AXNX,"Axonics, Inc.",RUSSEL 2000
AXSM,"Axsome Therapeutics, Inc.",RUSSEL 2000
AZZ,AZZ INC,RUSSEL 2000
B,BARNES GROUP INC,RUSSEL 2000
BALY,Bally's Corp,RUSSEL 2000
BANC,"BANC OF CALIFORNIA, INC.",RUSSEL 2000
BAND,Bandwidth Inc.,RUSSEL 2000
BANF,BANCFIRST CORP /OK/,RUSSEL 2000
BANR,BANNER CORP,RUSSEL 2000
BARK,"Bark, Inc.",RUSSEL 2000
BASE,"Couchbase, Inc.",RUSSEL 2000
BATRA,"Atlanta Braves Holdings, Inc.",RUSSEL 2000
BATRK,"Atlanta Braves Holdings, Inc.",RUSSEL 2000
BBAI,"BigBear.ai Holdings, Inc.",RUSSEL 2000
BBCP,"Concrete Pumping Holdings, Inc.",RUSSEL 2000
